"","name","slug","value","ranking","region"
"1","Monaco","monaco",89.52,1,"Europe"
"2","Singapore","singapore",86.35,2,"East and Southeast Asia"
"3","Macau","macau",84.98,3,"East and Southeast Asia"
"4","Japan","japan",84.83,4,"East and Southeast Asia"
"5","San Marino","san-marino",83.86,5,"Europe"
"6","Canada","canada",83.8,6,"North America"
"7","Iceland","iceland",83.64,7,"Europe"
"8","Hong Kong","hong-kong",83.61,8,"East and Southeast Asia"
"9","Andorra","andorra",83.42,9,"Europe"
"10","Israel","israel",83.35,10,"Middle East"
"11","Guernsey","guernsey",83.23,11,"Europe"
"12","Switzerland","switzerland",83.23,12,"Europe"
"13","Malta","malta",83.2,13,"Europe"
"14","Australia","australia",83.09,14,"Australia and Oceania"
"15","Luxembourg","luxembourg",82.98,15,"Europe"
"16","Korea, South","korea-south",82.97,16,"East and Southeast Asia"
"17","Sweden","sweden",82.7,17,"Europe"
"18","Jersey","jersey",82.63,18,"Europe"
"19","France","france",82.59,19,"Europe"
"20","Italy","italy",82.59,20,"Europe"
"21","Liechtenstein","liechtenstein",82.56,21,"Europe"
"22","Norway","norway",82.55,22,"Europe"
"23","Spain","spain",82.55,23,"Europe"
"24","New Zealand","new-zealand",82.54,24,"Australia and Oceania"
"25","Austria","austria",82.27,25,"Europe"
"26","Anguilla","anguilla",82.2,26,"Central America and the Caribbean"
"27","Netherlands","netherlands",82.16,27,"Europe"
"28","Bermuda","bermuda",82.04,28,"North America"
"29","Cayman Islands","cayman-islands",82.04,29,"Central America and the Caribbean"
"30","Isle of Man","isle-of-man",82.04,30,"Europe"
"31","United Kingdom","united-kingdom",81.94,31,"Europe"
"32","Belgium","belgium",81.86,32,"Europe"
"33","Slovenia","slovenia",81.82,33,"Europe"
"34","Finland","finland",81.76,34,"Europe"
"35","Puerto Rico","puerto-rico",81.68,35,"Central America and the Caribbean"
"36","Denmark","denmark",81.66,36,"Europe"
"37","Ireland","ireland",81.66,37,"Europe"
"38","Germany","germany",81.51,38,"Europe"
"39","Portugal","portugal",81.5,39,"Europe"
"40","Greece","greece",81.49,40,"Europe"
"41","Saint Pierre and Miquelon","saint-pierre-and-miquelon",81.41,41,"North America"
"42","Faroe Islands","faroe-islands",81.26,42,"Europe"
"43","Taiwan","taiwan",81.16,43,"East and Southeast Asia"
"44","Turks and Caicos Islands","turks-and-caicos-islands",80.82,44,"Central America and the Caribbean"
"45","Wallis and Futuna","wallis-and-futuna",80.67,45,"Australia and Oceania"
"46","United States","united-states",80.59,46,"North America"
"47","Saint Barthelemy","saint-barthelemy",80.58,47,"Central America and the Caribbean"
"48","Saint Martin","saint-martin",80.58,48,"Central America and the Caribbean"
"49","Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha",80.48,49,"Africa"
"50","Gibraltar","gibraltar",80.42,50,"Europe"
"51","Virgin Islands","virgin-islands",80.27,51,"Central America and the Caribbean"
"52","Bahrain","bahrain",79.9,52,"Middle East"
"53","Qatar","qatar",79.81,53,"Middle East"
"54","Chile","chile",79.79,54,"South America"
"55","Cyprus","cyprus",79.74,55,"Europe"
"56","Czechia","czechia",79.73,56,"Europe"
"57","British Virgin Islands","british-virgin-islands",79.67,57,"Central America and the Caribbean"
"58","Costa Rica","costa-rica",79.64,58,"Central America and the Caribbean"
